"Skjemanavn";"Navn i Rapporteket";"Ledetekst";"Obligatorisk";"Type";"Listeverdier";"Listetekst";"Normalintervall start numerisk";"Normalintervall slutt numerisk";"Maksintervall start numerisk";"Maksintervall slutt numerisk";"Normalintervall start dato";"Normalintervall slutt dato";"Maksintervall start dato";"Maksintervall slutt dato";"Antall tegn";"Lovlige tegn";"Desimaler";"Aktiveringsspørsmål";"Underspørsmål";"Innført dato";"Utfaset dato";"Tabell";"Fysisk feltnavn";"Kommentar";"Variabel ID";"Hjelpetekst"
"TO";"Tilsynsanmodnin";"Tilsynsanmodning";"Nei";"Avkrysningsboks";"";"";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"mce";"REFERRED_BY_REQUEST";;"MCE_REFERRED_BY_REQUEST";"Hovedsakelig skal pasienter henvises i EPJ. Kun pasienter som formelt er henvist inngår i det nasjonale registeret."
"TO";"TelefonCalling";"Telefon/Calling";"Nei";"Avkrysningsboks";"";"";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"mce";"REFERRED_BY_PHONE";;"MCE_REFERRED_BY_PHONE";"Benyttes for korte tilsyn eller dersom pasient er kjent fra før. Det er ønskelig at det bes om skriftlig tilsynsanmodning ved behov for lengre oppfølging."
"TO";"StartdatoTO";"Startdato";"Ja";"Datovariabel";"";"";"";"";"";"";"";"";"01.01.1980";"";;;;"Nei";"Nei";"01.01.1980";"";"mce";"REGISTERED_DATE";;"MCE_REGISTERED_DATE";"Dato registrering/behandling starter. Dato skrives på formatet yyyymmdd. Skriver du inn kun dag (dd), så autfylles nåværende måned og år. Skriver du inn måned og dato (mmdd), så autofylles nåværende år. Eksempel: For dato 23.11.1980 er følgende verdier gyldig: 801123, eller 19801123, eller 1980-11-23"
"TO";"Tilsett";"Har pasienten fått tilsyn?";"Ja";"Listevariabel";1;"Ja";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"mce";"SUPERVISION";;"MCE_SUPERVISION";"1 - Ja - Pasient har fått tilsyn 2 - Nei, ikke behov - f. eks henvisningen behandles først etter at pasienten har reist, smertebildet har endret seg - posten ønsker ikke lengre bistand fra smerteteam. 3 - Nei, ikke kapasitet - ikke tilsett pga personalmangel, tidspress. 4 - Nei, ikke prioritert, men gitt råd - f.eks ringt til avdeling, skrevet journalnotat eller snakket med personalet på vaktrommet, dvs at behandler ikke har snakket med selve pasienten, men kun har gitt råd om pasientens videre smertebehandling, som også kan være en anbefaling om videre henvisning til Smerteklinikkens Poliklinikk 5 - Nei, annen årsak - brukes dersom ingen andre svaralternativene passer"
"TO";"Tilsett";"Har pasienten fått tilsyn?";"Ja";"Listevariabel";2;"Nei - ikke behov";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"mce";"SUPERVISION";;"MCE_SUPERVISION";"1 - Ja - Pasient har fått tilsyn 2 - Nei, ikke behov - f. eks henvisningen behandles først etter at pasienten har reist, smertebildet har endret seg - posten ønsker ikke lengre bistand fra smerteteam. 3 - Nei, ikke kapasitet - ikke tilsett pga personalmangel, tidspress. 4 - Nei, ikke prioritert, men gitt råd - f.eks ringt til avdeling, skrevet journalnotat eller snakket med personalet på vaktrommet, dvs at behandler ikke har snakket med selve pasienten, men kun har gitt råd om pasientens videre smertebehandling, som også kan være en anbefaling om videre henvisning til Smerteklinikkens Poliklinikk 5 - Nei, annen årsak - brukes dersom ingen andre svaralternativene passer"
"TO";"Tilsett";"Har pasienten fått tilsyn?";"Ja";"Listevariabel";3;"Nei - ikke kapasitet";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"mce";"SUPERVISION";;"MCE_SUPERVISION";"1 - Ja - Pasient har fått tilsyn 2 - Nei, ikke behov - f. eks henvisningen behandles først etter at pasienten har reist, smertebildet har endret seg - posten ønsker ikke lengre bistand fra smerteteam. 3 - Nei, ikke kapasitet - ikke tilsett pga personalmangel, tidspress. 4 - Nei, ikke prioritert, men gitt råd - f.eks ringt til avdeling, skrevet journalnotat eller snakket med personalet på vaktrommet, dvs at behandler ikke har snakket med selve pasienten, men kun har gitt råd om pasientens videre smertebehandling, som også kan være en anbefaling om videre henvisning til Smerteklinikkens Poliklinikk 5 - Nei, annen årsak - brukes dersom ingen andre svaralternativene passer"
"TO";"Tilsett";"Har pasienten fått tilsyn?";"Ja";"Listevariabel";4;"Nei - ikke prioritet, men gitt råd";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"mce";"SUPERVISION";;"MCE_SUPERVISION";"1 - Ja - Pasient har fått tilsyn 2 - Nei, ikke behov - f. eks henvisningen behandles først etter at pasienten har reist, smertebildet har endret seg - posten ønsker ikke lengre bistand fra smerteteam. 3 - Nei, ikke kapasitet - ikke tilsett pga personalmangel, tidspress. 4 - Nei, ikke prioritert, men gitt råd - f.eks ringt til avdeling, skrevet journalnotat eller snakket med personalet på vaktrommet, dvs at behandler ikke har snakket med selve pasienten, men kun har gitt råd om pasientens videre smertebehandling, som også kan være en anbefaling om videre henvisning til Smerteklinikkens Poliklinikk 5 - Nei, annen årsak - brukes dersom ingen andre svaralternativene passer"
"TO";"Tilsett";"Har pasienten fått tilsyn?";"Ja";"Listevariabel";5;"Nei - annen årsak";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"mce";"SUPERVISION";;"MCE_SUPERVISION";"1 - Ja - Pasient har fått tilsyn 2 - Nei, ikke behov - f. eks henvisningen behandles først etter at pasienten har reist, smertebildet har endret seg - posten ønsker ikke lengre bistand fra smerteteam. 3 - Nei, ikke kapasitet - ikke tilsett pga personalmangel, tidspress. 4 - Nei, ikke prioritert, men gitt råd - f.eks ringt til avdeling, skrevet journalnotat eller snakket med personalet på vaktrommet, dvs at behandler ikke har snakket med selve pasienten, men kun har gitt råd om pasientens videre smertebehandling, som også kan være en anbefaling om videre henvisning til Smerteklinikkens Poliklinikk 5 - Nei, annen årsak - brukes dersom ingen andre svaralternativene passer"
"TO";"Norsktalende";"Norsktalende";"Ja";"Listevariabel";"0";"Nei";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"mce";"NORWEGIAN";;"MCE_NORWEGIAN";"Pasient forstår og kan gjøre seg forstått på norsk."
"TO";"Norsktalende";"Norsktalende";"Ja";"Listevariabel";1;"Ja";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"mce";"NORWEGIAN";;"MCE_NORWEGIAN";"Pasient forstår og kan gjøre seg forstått på norsk."
"TO";"alder";"Pasientens alder";"Ja";"Tallvariabel";"";"";"12";"90";"5";110;"";"";"";"";3;;"0";"Nei";"Nei";"01.01.1980";"";"mce";"AGE";;"MCE_AGE";"Pasientens alder i hele år"
"TO";"TilstrAntTils";"Tilstrekkelig antall tilsyn (>= 3)";"Ja";"Listevariabel";"0";"Nei";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"mce";"SUFFICIENT";;"MCE_SUFFICIENT";"Pasient har hatt tre eller flere tilsyn, dvs pasient har hatt besøk av behandler tre ganger eller oftere."
"TO";"TilstrAntTils";"Tilstrekkelig antall tilsyn (>= 3)";"Ja";"Listevariabel";1;"Ja";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"mce";"SUFFICIENT";;"MCE_SUFFICIENT";"Pasient har hatt tre eller flere tilsyn, dvs pasient har hatt besøk av behandler tre ganger eller oftere."
"TO";"KognSvekket";"Kognitivt svekket";"Ja";"Listevariabel";"0";"Nei";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"mce";"COGNITIVE";;"MCE_COGNITIVE";"Pasient kan ikke gjøre rede for seg selv, er forvirret eller ikke orientert for tid og sted (for eksempel: delir, paranoid, dement)."
"TO";"KognSvekket";"Kognitivt svekket";"Ja";"Listevariabel";1;"Ja";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"mce";"COGNITIVE";;"MCE_COGNITIVE";"Pasient kan ikke gjøre rede for seg selv, er forvirret eller ikke orientert for tid og sted (for eksempel: delir, paranoid, dement)."
"TO";"InklKritOppf";"Inklusjonskriterier oppfylt";"Nei";"Skjult variabel";"";"";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"mce";"INCLUDED";;"MCE_INCLUDED";""
"TO";"SkriftligSamtyk";"Skriftlig samtykke";"Ja";"Listevariabel";"0";"Nei";"";"";"";"";"";"";"";"";;;;"Nei";"Ja";"01.01.1980";"";"mce";"CONSENT";;"MCE_CONSENT";"Se utvidet forklaring ved samtykke (trykk på spørsmålstegn-ikonet)"
"TO";"SkriftligSamtyk";"Skriftlig samtykke";"Ja";"Listevariabel";1;"Ja";"";"";"";"";"";"";"";"";;;;"Nei";"Ja";"01.01.1980";"";"mce";"CONSENT";;"MCE_CONSENT";"Se utvidet forklaring ved samtykke (trykk på spørsmålstegn-ikonet)"
"TO";"TypeManglSamt";"Type manglende samtykke";"Ja";"Listevariabel";1;"Aktivt";"";"";"";"";"";"";"";"";;;;"Nei";"Ja";"01.01.1980";"";"mce";"NOCONSENT_REASON";;"MCE_NOCONSENT_REASON";"Se utvidet forklaring ved samtykke (trykk på spørsmålstegn-ikonet)"
"TO";"TypeManglSamt";"Type manglende samtykke";"Ja";"Listevariabel";2;"Passivt";"";"";"";"";"";"";"";"";;;;"Nei";"Ja";"01.01.1980";"";"mce";"NOCONSENT_REASON";;"MCE_NOCONSENT_REASON";"Se utvidet forklaring ved samtykke (trykk på spørsmålstegn-ikonet)"
"TO";"TypeManglSamt";"Type manglende samtykke";"Ja";"Listevariabel";3;"Ikke spurt";"";"";"";"";"";"";"";"";;;;"Nei";"Ja";"01.01.1980";"";"mce";"NOCONSENT_REASON";;"MCE_NOCONSENT_REASON";"Se utvidet forklaring ved samtykke (trykk på spørsmålstegn-ikonet)"
"TO";"TypeManglSamt";"Type manglende samtykke";"Ja";"Listevariabel";4;"Tilbaketrukket samtykke";"";"";"";"";"";"";"";"";;;;"Nei";"Ja";"01.01.1980";"";"mce";"NOCONSENT_REASON";;"MCE_NOCONSENT_REASON";"Se utvidet forklaring ved samtykke (trykk på spørsmålstegn-ikonet)"
"TO";"DatoSamtykke";"Dato for innhentet samtykke";"Ja";"Datovariabel";"";"";"";"";"";"";"";"";"01.01.1980";"today";;;;"Nei";"Ja";"01.01.1980";"";"mce";"CONSENT_DATE";;"MCE_CONSENT_DATE";"Skriv inn dato for innhentings tidspunkt for samtykke. Dato skrives på formatet yyyymmdd. Skriver du inn kun dag (dd), så autfylles nåværende måned og år. Skriver du inn måned og dato (mmdd), så autofylles nåværende år. Eksempel: For dato 23.11.1980 er følgende verdier gyldig: 801123, eller 19801123, eller 1980-11-23"
"TO";"DatotrekSamt";"Samtykke trekt dato";"Ja";"Datovariabel";"";"";"";"";"";"";"";"";"01.01.1980";"today";;;;"Nei";"Ja";"01.01.1980";"";"mce";"CONSENT_WITHDRAW_DATE";;"MCE_CONSENT_WITHDRAW_DATE";"Skriv inn dato når samtykke ble trekt. Dato skrives på formatet yyyymmdd. Skriver du inn kun dag (dd), så autfylles nåværende måned og år. Skriver du inn måned og dato (mmdd), så autofylles nåværende år. Eksempel: For dato 23.11.1980 er følgende verdier gyldig: 801123, eller 19801123, eller 1980-11-23"
"TO";"IntKomTO";"Internkommentar";"Nei";"Stor tekstvariabel";"";"";"";"";"";"";"";"";"";"";2000;"aAáÁbBcCdDðÐeEéÉfFgGhHiIíÍjJkKlLmMnNoOóÓpPqQrRsStTuUvúÚVwWxXyYýÝzZþÞæÆåÅäÄöÖñÑéÉ-ü ÜáÁ´_/,.- + 1234567890ØøÜüß@_-!%:;?";;"Nei";"Nei";"01.01.1980";"";"mce";"USERCOMMENT";;"MCE_USERCOMMENT";"Generell fri kommentar, max 2000 tegn."
"B1.1";"RegDato11";"Registreringsdato";"Ja";"Datovariabel";"";"";"";"";"";"";"";"";"01.01.1900";"today";;;;"Nei";"Nei";"01.01.1980";"";"emp11";"REGISTERED_DATE";;"EMP11_REGISTERED_DATE";"Sett inn dato for utfylling. (Registreringsdato kan ikke settes før henvisningsdato.) Dato skrives på formatet yyyymmdd. Skriver du inn kun dag (dd), så autfylles nåværende måned og år. Skriver du inn måned og dato (mmdd), så autofylles nåværende år. Eksempel: For dato 23.11.1980 er følgende verdier gyldig: 801123, eller 19801123, eller 1980-11-23"
"B1.1";"Lokasjon";"1a. Lokasjon";"Ja";"Listevariabel";"0";"Lastes fra eget miniregister pr sykehus";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"emp11";"LOCATION";;"EMP11_LOCATION";"Lokasjon for innlagt avdeling ved registreringstidspunkt for registrerende sykehus. Dette kan være nødvendig for å skille mellom enheter dersom RESH ikke gir tilstrekkelig informasjon eller antall avdelinger blir svært høyt. Listen kan administreres av Lokal koordinator (LC)"
"B1.1";"InnlAvd";"1b. Avdeling";"Ja";"Listevariabel";"0";"Lastes fra eget miniregister pr sykehus";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"emp11";"DEPARTMENT";;"EMP11_DEPARTMENT";"Innlagt avdeling ved registreringstidspunkt for registrerende sykehus sortert på visningsnavn i arbeidslisten. Listen kan administreres av Lokal koordinator (LC)"
"B1.1";"InnlDiag";"2. Innleggelsesdiagnose (ICD-10)";"Ja";"Tekstvariabel";"";"";"";"";"";"";"";"";"";"";200;"aAáÁbBcCdDðÐeEéÉfFgGhHiIíÍjJkKlLmMnNoOóÓpPqQrRsStTuUvúÚVwWxXyYýÝzZþÞæÆåÅäÄöÖñÑéÉ-ü ÜáÁ´_/,.- + 1234567890ØøÜüß@_-!%:;? "" [] ()&";;"Nei";"Nei";"01.01.1980";"";"emp11";"MAINDIAG";;"EMP11_MAINDIAG";"Første diagnose som finnes i innkomstnotat/henvisningsbrev (EPJ). Bruk link ""FinnKode: ICD-10"" for å finne rett diagnosekode. Systemet hjelper deg etter at du har skrevet inn tre tegn."
"B1.1";"InnlDiagVersj";"";"Nei";"Skjult variabel";"";"";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"emp11";"MAINDIAG_VERSION";;"EMP11_MAINDIAG_VERSION";""
"B1.1";"Smertekategori3a";"3a. Smertekategori";"Nei";"Listevariabel";1;"Akutt smerte";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"emp11";"PAINCAT";;"EMP11_PAINCAT";"Annet benyttes når en er usikker på hvilken kategori som er mest passende. Brukes også ved tilsynsforespørsel om kvalmebehandling, angsbehandling eller substitusjonsbehandling."
"B1.1";"Smertekategori3a";"3a. Smertekategori";"Nei";"Listevariabel";2;"Langvarig smerte > 3 mnd";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"emp11";"PAINCAT";;"EMP11_PAINCAT";"Annet benyttes når en er usikker på hvilken kategori som er mest passende. Brukes også ved tilsynsforespørsel om kvalmebehandling, angsbehandling eller substitusjonsbehandling."
"B1.1";"Smertekategori3a";"3a. Smertekategori";"Nei";"Listevariabel";3;"Palliativ";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"emp11";"PAINCAT";;"EMP11_PAINCAT";"Annet benyttes når en er usikker på hvilken kategori som er mest passende. Brukes også ved tilsynsforespørsel om kvalmebehandling, angsbehandling eller substitusjonsbehandling."
"B1.1";"Smertekategori3a";"3a. Smertekategori";"Nei";"Listevariabel";4;"Annet";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"emp11";"PAINCAT";;"EMP11_PAINCAT";"Annet benyttes når en er usikker på hvilken kategori som er mest passende. Brukes også ved tilsynsforespørsel om kvalmebehandling, angsbehandling eller substitusjonsbehandling."
"B1.1";"diagnosekat3b1";"3b. Diagnosekategori";"Nei";"Listevariabel";1;"Primær smerte";"";"";"";"";"";"";"";"";;;;"Ja";"Nei";"01.01.1980";"";"emp11";"PAINDIAG_CATEGORY";;"EMP11_PAINDIAG_CATEGORY";"..."
"B1.1";"diagnosekat3b1";"3b. Diagnosekategori";"Nei";"Listevariabel";2;"Kreftsmerte";"";"";"";"";"";"";"";"";;;;"Ja";"Nei";"01.01.1980";"";"emp11";"PAINDIAG_CATEGORY";;"EMP11_PAINDIAG_CATEGORY";"..."
"B1.1";"diagnosekat3b1";"3b. Diagnosekategori";"Nei";"Listevariabel";3;"Postkirurgisk og posttraumatisk smerte";"";"";"";"";"";"";"";"";;;;"Ja";"Nei";"01.01.1980";"";"emp11";"PAINDIAG_CATEGORY";;"EMP11_PAINDIAG_CATEGORY";"..."
"B1.1";"diagnosekat3b1";"3b. Diagnosekategori";"Nei";"Listevariabel";4;"Nevropatisk smerte";"";"";"";"";"";"";"";"";;;;"Ja";"Nei";"01.01.1980";"";"emp11";"PAINDIAG_CATEGORY";;"EMP11_PAINDIAG_CATEGORY";"..."
"B1.1";"diagnosekat3b1";"3b. Diagnosekategori";"Nei";"Listevariabel";5;"Hodepine og orofacial smerte";"";"";"";"";"";"";"";"";;;;"Ja";"Nei";"01.01.1980";"";"emp11";"PAINDIAG_CATEGORY";;"EMP11_PAINDIAG_CATEGORY";"..."
"B1.1";"diagnosekat3b1";"3b. Diagnosekategori";"Nei";"Listevariabel";6;"Sekundær visceral smerte";"";"";"";"";"";"";"";"";;;;"Ja";"Nei";"01.01.1980";"";"emp11";"PAINDIAG_CATEGORY";;"EMP11_PAINDIAG_CATEGORY";"..."
"B1.1";"diagnosekat3b1";"3b. Diagnosekategori";"Nei";"Listevariabel";7;"Sekundær muskelskjelett smerte";"";"";"";"";"";"";"";"";;;;"Ja";"Nei";"01.01.1980";"";"emp11";"PAINDIAG_CATEGORY";;"EMP11_PAINDIAG_CATEGORY";"..."
"B1.1";"diagnosekat3b2";"3b. Diagnosekategori";"Nei";"Listevariabel";1;"På grunn av kirurgi";"";"";"";"";"";"";"";"";;;;"Ja";"Nei";"01.01.1980";"";"emp11";"PAINDIAG_ACUTE_CATEGORY";;"EMP11_PAINDIAG_ACUTE_CATEGORY";"Smertekategori for akutte smerter"
"B1.1";"diagnosekat3b2";"3b. Diagnosekategori";"Nei";"Listevariabel";2;"På grunn av skade/traume";"";"";"";"";"";"";"";"";;;;"Ja";"Nei";"01.01.1980";"";"emp11";"PAINDIAG_ACUTE_CATEGORY";;"EMP11_PAINDIAG_ACUTE_CATEGORY";"Smertekategori for akutte smerter"
"B1.1";"diagnosekat3b2";"3b. Diagnosekategori";"Nei";"Listevariabel";3;"På grunn av sykdom";"";"";"";"";"";"";"";"";;;;"Ja";"Nei";"01.01.1980";"";"emp11";"PAINDIAG_ACUTE_CATEGORY";;"EMP11_PAINDIAG_ACUTE_CATEGORY";"Smertekategori for akutte smerter"
"B1.1";"diagnosekat3b2";"3b. Diagnosekategori";"Nei";"Listevariabel";9;"Annet";"";"";"";"";"";"";"";"";;;;"Ja";"Nei";"01.01.1980";"";"emp11";"PAINDIAG_ACUTE_CATEGORY";;"EMP11_PAINDIAG_ACUTE_CATEGORY";"Smertekategori for akutte smerter"
"B1.1";"diagnosekat3b3";"3b i. Diagnosesubkategori";"Nei";"Listevariabel";1;"Alternativer justeres";"";"";"";"";"";"";"";"";;;;"Nei";"Ja";"01.01.1980";"";"emp11";"PAINDIAG_SUBCATEGORY";;"EMP11_PAINDIAG_SUBCATEGORY";"..."
"B1.1";"Akuttsmertediag";"3 b i. Akutt smertediagnose (ICD-10)";"Nei";"Tekstvariabel";"";"";"";"";"";"";"";"";"";"";200;"aAáÁbBcCdDðÐeEéÉfFgGhHiIíÍjJkKlLmMnNoOóÓpPqQrRsStTuUvúÚVwWxXyYýÝzZþÞæÆåÅäÄöÖñÑéÉ-ü ÜáÁ´_/,.- + 1234567890ØøÜüß@_-!%:;? "" [] ()";;"Nei";"Nei";"01.01.1980";"";"emp11";"ACUTECODE";;"EMP11_ACUTECODE";"Skriv en gyldig ICD-10 kode som er relatert til smertetilstander. Kun ICD-10 koder angitt som smertediagnose er gyldige. Systemet hjelper deg etter at du har skrevet inn tre tegn. For kun søking i C-kapitlet skriv C -mellomrom- også det du vil søke etter."
